Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info
SpiceJet,1/06/2019,Chennai,Kolkata,MAA _ CCU,09:45,12:00,2h 15m,non-stop,No info
Vistara,21/03/2019,Banglore,New Delhi,BLR _ AMD _ DEL,06:40,12:35,5h 55m,1 stop,No info
Air India,09/03/2019,Banglore,New Delhi,BLR _ DEL,06:10,08:55,2h 45m,non-stop,No info
Jet Airways,12/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,21:10,08:15 13 May,11h 5m,1 stop,No info
Air Asia,3/06/2019,Kolkata,Banglore,CCU _ BLR,19:55,22:25,2h 30m,non-stop,No info
IndiGo,09/03/2019,Banglore,New Delhi,BLR _ DEL,00:40,03:25,2h 45m,non-stop,No info
Air India,3/06/2019,Delhi,Cochin,DEL _ BLR _ COK,17:40,23:00,5h 20m,1 stop,No info
Air India,21/05/2019,Delhi,Cochin,DEL _ CCU _ BOM _ COK,06:50,07:40 22 May,24h 50m,2 stops,No info
Jet Airways,6/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,18:55,04:40 07 May,9h 45m,1 stop,In-flight meal not included
Jet Airways,3/06/2019,Delhi,Cochin,DEL _ BOM _ COK,13:00,04:25 04 Jun,15h 25m,1 stop,No info
SpiceJet,15/05/2019,Delhi,Cochin,DEL _ PNQ _ COK,08:45,13:15,4h 30m,1 stop,No info
Jet Airways,9/05/2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,05:30,04:25 10 May,22h 55m,2 stops,No info
IndiGo,6/04/2019,Delhi,Cochin,DEL _ COK,05:35,08:50,3h 15m,non-stop,No info
Jet Airways,24/03/2019,Kolkata,Banglore,CCU _ BOM _ BLR,16:55,22:35,5h 40m,1 stop,No info
SpiceJet,1/06/2019,Chennai,Kolkata,MAA _ CCU,08:20,10:35,2h 15m,non-stop,No info
IndiGo,24/03/2019,Banglore,New Delhi,BLR _ DEL,18:55,21:45,2h 50m,non-stop,No info
Air India,21/03/2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,12:00,19:15,7h 15m,2 stops,No info
Multiple carriers,9/06/2019,Delhi,Cochin,DEL _ BOM _ COK,17:45,01:30 10 Jun,7h 45m,1 stop,No info
Air India,24/03/2019,Banglore,New Delhi,BLR _ DEL,21:10,23:55,2h 45m,non-stop,No info
Jet Airways,1/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,16:30,10:05 02 May,17h 35m,1 stop,No info
IndiGo,9/05/2019,Delhi,Cochin,DEL _ BOM _ COK,16:00,21:00,5h,1 stop,No info
Jet Airways,15/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,08:25,23:35,15h 10m,1 stop,In-flight meal not included
Multiple carriers,12/06/2019,Delhi,Cochin,DEL _ BOM _ COK,10:35,19:00,8h 25m,1 stop,No info
IndiGo,21/04/2019,Banglore,Delhi,BLR _ DEL,22:10,01:00 22 Apr,2h 50m,non-stop,No info
SpiceJet,12/05/2019,Chennai,Kolkata,MAA _ CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included
Jet Airways,24/06/2019,Delhi,Cochin,DEL _ BOM _ COK,10:00,19:00,9h,1 stop,No info
IndiGo,15/04/2019,Delhi,Cochin,DEL _ MAA _ COK,02:00,07:25,5h 25m,1 stop,No info
IndiGo,21/05/2019,Kolkata,Banglore,CCU _ GAU _ BLR,15:10,20:50,5h 40m,1 stop,No info
IndiGo,21/05/2019,Banglore,Delhi,BLR _ DEL,23:30,02:20 22 May,2h 50m,non-stop,No info
Jet Airways,21/03/2019,Delhi,Cochin,DEL _ BDQ _ BOM _ COK,18:25,04:25 22 Mar,10h,2 stops,No info
Jet Airways,3/06/2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,09:40,19:00,9h 20m,2 stops,In-flight meal not included
Jet Airways,6/05/2019,Banglore,Delhi,BLR _ DEL,07:10,10:10,3h,non-stop,In-flight meal not included
Air India,06/03/2019,Banglore,New Delhi,BLR _ BOM _ UDR _ DEL,06:45,16:30 07 Mar,33h 45m,2 stops,No info
SpiceJet,6/05/2019,Banglore,Delhi,BLR _ DEL,21:10,00:05 07 May,2h 55m,non-stop,No info
IndiGo,24/06/2019,Delhi,Cochin,DEL _ BOM _ COK,15:00,01:30 25 Jun,10h 30m,1 stop,No info
Jet Airways,24/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,14:05,20:45,6h 40m,1 stop,No info
Jet Airways,01/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,07:00,19:10,12h 10m,1 stop,1 Long layover
SpiceJet,1/06/2019,Banglore,Delhi,BLR _ DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included
Air India,21/03/2019,Banglore,New Delhi,BLR _ BBI _ DEL,09:30,16:20,6h 50m,1 stop,No info
Vistara,18/06/2019,Banglore,Delhi,BLR _ DEL,19:30,22:15,2h 45m,non-stop,No info
IndiGo,3/03/2019,Delhi,Cochin,DEL _ BOM _ COK,16:00,21:00,5h,1 stop,No info
Jet Airways,9/05/2019,Delhi,Cochin,DEL _ BOM _ COK,02:15,19:00,16h 45m,1 stop,In-flight meal not included
Jet Airways,6/06/2019,Kolkata,Banglore,CCU _ BOM _ BLR,06:30,19:50,13h 20m,1 stop,No info
IndiGo,6/03/2019,Delhi,Cochin,DEL _ MAA _ COK,07:20,12:30,5h 10m,1 stop,No info
Jet Airways,3/05/2019,Mumbai,Hyderabad,BOM _ HYD,07:05,08:30,1h 25m,non-stop,No info
Jet Airways,12/06/2019,Delhi,Cochin,DEL _ ATQ _ BOM _ COK,20:00,04:25 13 Jun,8h 25m,2 stops,No info
Vistara,9/04/2019,Banglore,Delhi,BLR _ DEL,17:00,19:35,2h 35m,non-stop,No info
Jet Airways,1/04/2019,Kolkata,Banglore,CCU _ DEL _ BLR,20:25,19:10 02 Apr,22h 45m,1 stop,No info
Air India,6/03/2019,Mumbai,Hyderabad,BOM _ VGA _ TIR _ HYD,08:00,18:10,10h 10m,2 stops,No info
IndiGo,18/05/2019,Banglore,Delhi,BLR _ DEL,06:05,08:50,2h 45m,non-stop,No info
Jet Airways,9/03/2019,Delhi,Cochin,DEL _ DED _ BOM _ COK,16:50,04:25 11 Mar,35h 35m,2 stops,In-flight meal not included
Jet Airways,21/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,07:00,18:25,11h 25m,1 stop,In-flight meal not included
Vistara,24/06/2019,Banglore,Delhi,BLR _ DEL,19:30,22:15,2h 45m,non-stop,No info
Multiple carriers,27/05/2019,Delhi,Cochin,DEL _ BOM _ COK,09:15,19:00,9h 45m,1 stop,No info
IndiGo,3/04/2019,Kolkata,Banglore,CCU _ BLR,14:25,16:55,2h 30m,non-stop,No info
Air India,9/05/2019,Mumbai,Hyderabad,BOM _ HYD,06:20,07:40,1h 20m,non-stop,No info
Air India,12/06/2019,Kolkata,Banglore,CCU _ DEL _ AMD _ BLR,07:00,05:25 13 Jun,22h 25m,2 stops,No info
Multiple carriers,12/06/2019,Delhi,Cochin,DEL _ BOM _ COK,07:30,19:15,11h 45m,1 stop,No info
IndiGo,6/06/2019,Mumbai,Hyderabad,BOM _ HYD,16:55,18:25,1h 30m,non-stop,No info
Jet Airways,18/05/2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,09:40,04:25 19 May,18h 45m,2 stops,No info
Air India,6/03/2019,Mumbai,Hyderabad,BOM _ HYD,13:55,15:25,1h 30m,non-stop,No info
Jet Airways,9/06/2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,09:20 10 Jun,13h 20m,1 stop,No info
Jet Airways,9/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,08:15 10 May,12h 15m,1 stop,No info
IndiGo,15/06/2019,Kolkata,Banglore,CCU _ BLR,11:30,14:05,2h 35m,non-stop,No info
IndiGo,24/05/2019,Delhi,Cochin,DEL _ BOM _ COK,16:00,01:30 25 May,9h 30m,1 stop,No info
Jet Airways,15/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,22:50,23:00 16 Mar,24h 10m,1 stop,In-flight meal not included
IndiGo,6/04/2019,Kolkata,Banglore,CCU _ HYD _ BLR,15:15,20:05,4h 50m,1 stop,No info
Vistara,15/03/2019,Banglore,New Delhi,BLR _ AMD _ DEL,06:40,21:55,15h 15m,1 stop,No info
Air Asia,15/04/2019,Banglore,Delhi,BLR _ DEL,04:55,07:45,2h 50m,non-stop,No info
Air India,1/04/2019,Kolkata,Banglore,CCU _ DEL _ VGA _ BLR,10:00,10:00 02 Apr,24h,2 stops,No info
Jet Airways,12/05/2019,Kolkata,Banglore,CCU _ DEL _ BLR,17:00,19:10 13 May,26h 10m,1 stop,No info
IndiGo,15/06/2019,Banglore,Delhi,BLR _ DEL,22:10,01:00 16 Jun,2h 50m,non-stop,No info
Jet Airways,15/06/2019,Banglore,Delhi,BLR _ DEL,07:10,10:10,3h,non-stop,No info
Air Asia,18/05/2019,Kolkata,Banglore,CCU _ DEL _ BLR,07:35,23:30,15h 55m,1 stop,No info
Multiple carriers,27/03/2019,Delhi,Cochin,DEL _ BOM _ COK,07:00,18:50,11h 50m,1 stop,No info
IndiGo,3/06/2019,Chennai,Kolkata,MAA _ CCU,11:35,14:00,2h 25m,non-stop,No info
Multiple carriers,6/03/2019,Delhi,Cochin,DEL _ BOM _ COK,11:40,21:00,9h 20m,1 stop,No info
Vistara,27/03/2019,Delhi,Cochin,DEL _ COK,14:55,17:50,2h 55m,non-stop,No info
Jet Airways,21/03/2019,Mumbai,Hyderabad,BOM _ HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included
Multiple carriers,27/06/2019,Delhi,Cochin,DEL _ BOM _ COK,17:00,01:30 28 Jun,8h 30m,1 stop,No info
Vistara,24/03/2019,Banglore,New Delhi,BLR _ DEL,09:50,12:35,2h 45m,non-stop,No info
Air India,24/05/2019,Kolkata,Banglore,CCU _ BBI _ BOM _ BLR,12:00,11:10 25 May,23h 10m,2 stops,No info
IndiGo,21/06/2019,Banglore,Delhi,BLR _ DEL,10:10,13:00,2h 50m,non-stop,No info
Jet Airways,24/06/2019,Delhi,Cochin,DEL _ LKO _ BOM _ COK,11:45,12:35 25 Jun,24h 50m,2 stops,No info
IndiGo,9/04/2019,Banglore,Delhi,BLR _ DEL,00:30,03:25,2h 55m,non-stop,No info
GoAir,6/06/2019,Delhi,Cochin,DEL _ BOM _ COK,07:00,12:55,5h 55m,1 stop,No info
Jet Airways,06/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,16:55,07:40 07 Mar,14h 45m,1 stop,No info
Multiple carriers,9/03/2019,Delhi,Cochin,DEL _ BOM _ COK,04:00,19:45,15h 45m,1 stop,No info
Multiple carriers,15/06/2019,Delhi,Cochin,DEL _ BOM _ COK,09:15,19:00,9h 45m,1 stop,No info
Jet Airways,12/06/2019,Kolkata,Banglore,CCU _ BOM _ BLR,08:25,16:20,7h 55m,1 stop,No info
Multiple carriers,15/06/2019,Delhi,Cochin,DEL _ BOM _ COK,12:50,19:15,6h 25m,1 stop,No info
Air India,21/06/2019,Kolkata,Banglore,CCU _ BLR,20:45,23:20,2h 35m,non-stop,No info
Jet Airways,1/06/2019,Banglore,Delhi,BLR _ DEL,11:10,14:05,2h 55m,non-stop,No info
Jet Airways,9/05/2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,05:30,04:25 10 May,22h 55m,2 stops,No info
Air India,27/06/2019,Delhi,Cochin,DEL _ BLR _ COK,17:40,08:15 28 Jun,14h 35m,1 stop,No info
Jet Airways,1/05/2019,Kolkata,Banglore,CCU _ DEL _ BLR,20:25,09:45 02 May,13h 20m,1 stop,In-flight meal not included
Jet Airways,21/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,11:40,18:25,6h 45m,1 stop,In-flight meal not included
Jet Airways,21/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,06:30,04:40 22 May,22h 10m,1 stop,No info
Jet Airways,21/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,14:05,12:00 22 May,21h 55m,1 stop,In-flight meal not included
Air India,6/03/2019,Mumbai,Hyderabad,BOM _ BLR _ HYD,16:40,09:15 07 Mar,16h 35m,1 stop,No info
Vistara,21/05/2019,Banglore,Delhi,BLR _ DEL,21:00,23:50,2h 50m,non-stop,No info
Jet Airways,1/04/2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,09:20 02 Apr,13h 20m,1 stop,In-flight meal not included
Jet Airways,15/06/2019,Mumbai,Hyderabad,BOM _ HYD,07:05,08:30,1h 25m,non-stop,No info
SpiceJet,12/06/2019,Banglore,Delhi,BLR _ DEL,21:10,00:05 13 Jun,2h 55m,non-stop,No check-in baggage included
Air India,9/03/2019,Delhi,Cochin,DEL _ CCU _ BOM _ COK,06:50,19:15 10 Mar,36h 25m,2 stops,No info
Air India,21/05/2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,12:00,19:15,7h 15m,2 stops,No info
IndiGo,15/06/2019,Delhi,Cochin,DEL _ HYD _ COK,07:35,12:10,4h 35m,1 stop,No info
Multiple carriers,3/06/2019,Delhi,Cochin,DEL _ BOM _ COK,04:55,19:00,14h 5m,1 stop,No info
Air Asia,24/03/2019,Kolkata,Banglore,CCU _ BBI _ BLR,07:45,11:30,3h 45m,1 stop,No info
SpiceJet,3/03/2019,Mumbai,Hyderabad,BOM _ HYD,22:45,00:10 04 Mar,1h 25m,non-stop,No info
IndiGo,15/04/2019,Delhi,Cochin,DEL _ COK,05:35,08:50,3h 15m,non-stop,No info
Jet Airways,9/05/2019,Banglore,Delhi,BLR _ DEL,17:45,20:45,3h,non-stop,No info
Air India,3/06/2019,Chennai,Kolkata,MAA _ CCU,11:40,13:55,2h 15m,non-stop,No info
Jet Airways,9/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,16:30,12:00 10 May,19h 30m,1 stop,In-flight meal not included
Multiple carriers,1/06/2019,Delhi,Cochin,DEL _ BOM _ COK,10:00,19:00,9h,1 stop,No info
Multiple carriers,15/05/2019,Delhi,Cochin,DEL _ BOM _ COK,07:30,19:15,11h 45m,1 stop,No info
Multiple carriers,6/03/2019,Delhi,Cochin,DEL _ BOM _ COK,07:00,13:20,6h 20m,1 stop,No info
Jet Airways,12/06/2019,Delhi,Cochin,DEL _ BOM _ COK,10:00,12:35 13 Jun,26h 35m,1 stop,In-flight meal not included
Multiple carriers,27/06/2019,Delhi,Cochin,DEL _ BOM _ COK,07:00,21:00,14h,1 stop,No info
Air India,15/05/2019,Delhi,Cochin,DEL _ HYD _ BOM _ COK,17:15,19:15 16 May,26h,2 stops,No info
Jet Airways,3/05/2019,Banglore,Delhi,BLR _ DEL,07:10,10:10,3h,non-stop,In-flight meal not included
Jet Airways,9/05/2019,Delhi,Cochin,DEL _ BOM _ COK,22:50,19:00 10 May,20h 10m,1 stop,No info
Air Asia,1/06/2019,Kolkata,Banglore,CCU _ BLR,19:55,22:25,2h 30m,non-stop,No info
Jet Airways,12/06/2019,Delhi,Cochin,DEL _ BOM _ COK,10:00,19:00,9h,1 stop,In-flight meal not included
Multiple carriers,3/03/2019,Delhi,Cochin,DEL _ BOM _ COK,10:20,18:50,8h 30m,1 stop,No info
Multiple carriers,15/05/2019,Delhi,Cochin,DEL _ BOM _ COK,04:55,19:15,14h 20m,1 stop,No info
GoAir,24/03/2019,Banglore,New Delhi,BLR _ DEL,20:55,23:50,2h 55m,non-stop,No info
Air Asia,6/05/2019,Kolkata,Banglore,CCU _ BLR,22:50,01:20 07 May,2h 30m,non-stop,No info
IndiGo,1/05/2019,Kolkata,Banglore,CCU _ BLR,14:25,16:55,2h 30m,non-stop,No info
IndiGo,24/06/2019,Delhi,Cochin,DEL _ HYD _ COK,06:50,22:30,15h 40m,1 stop,No info
IndiGo,9/06/2019,Delhi,Cochin,DEL _ HYD _ COK,11:55,22:30,10h 35m,1 stop,No info
SpiceJet,15/05/2019,Mumbai,Hyderabad,BOM _ HYD,05:45,07:15,1h 30m,non-stop,No check-in baggage included
Air India,18/05/2019,Banglore,Delhi,BLR _ DEL,21:05,23:55,2h 50m,non-stop,No info
SpiceJet,6/05/2019,Mumbai,Hyderabad,BOM _ HYD,13:15,14:45,1h 30m,non-stop,No check-in baggage included
IndiGo,3/06/2019,Delhi,Cochin,DEL _ COK,21:05,00:20 04 Jun,3h 15m,non-stop,No info
SpiceJet,1/04/2019,Mumbai,Hyderabad,BOM _ HYD,22:45,00:15 02 Apr,1h 30m,non-stop,No info
Multiple carriers Premium economy,21/03/2019,Delhi,Cochin,DEL _ BOM _ COK,17:45,01:35 22 Mar,7h 50m,1 stop,No info
IndiGo,27/06/2019,Banglore,Delhi,BLR _ DEL,20:00,22:50,2h 50m,non-stop,No info
Jet Airways,27/06/2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,23:05,19:00 28 Jun,19h 55m,2 stops,No info
Multiple carriers,6/03/2019,Delhi,Cochin,DEL _ BOM _ COK,06:00,18:50,12h 50m,1 stop,No info
Jet Airways,12/06/2019,Kolkata,Banglore,CCU _ BOM _ BLR,14:05,12:00 13 Jun,21h 55m,1 stop,No info
IndiGo,03/03/2019,Banglore,New Delhi,BLR _ DEL,18:55,21:45,2h 50m,non-stop,No info
Vistara,9/06/2019,Delhi,Cochin,DEL _ COK,06:00,09:10,3h 10m,non-stop,No info
IndiGo,6/05/2019,Mumbai,Hyderabad,BOM _ HYD,16:55,18:25,1h 30m,non-stop,No info
SpiceJet,12/06/2019,Kolkata,Banglore,CCU _ IXB _ BLR,11:15,18:30,7h 15m,1 stop,No info
IndiGo,3/03/2019,Delhi,Cochin,DEL _ BOM _ COK,11:30,01:35 04 Mar,14h 5m,1 stop,No info
Multiple carriers,6/03/2019,Delhi,Cochin,DEL _ BOM _ COK,07:05,19:15,12h 10m,1 stop,No info
Vistara,9/05/2019,Banglore,Delhi,BLR _ DEL,11:30,14:20,2h 50m,non-stop,No info
IndiGo,24/03/2019,Banglore,New Delhi,BLR _ DEL,08:30,11:30,3h,non-stop,No info
IndiGo,9/06/2019,Delhi,Cochin,DEL _ BOM _ COK,10:35,15:35,5h,1 stop,No info
Multiple carriers,1/06/2019,Delhi,Cochin,DEL _ BOM _ COK,15:15,01:30 02 Jun,10h 15m,1 stop,No info
IndiGo,1/04/2019,Banglore,Delhi,BLR _ DEL,23:30,02:20 02 Apr,2h 50m,non-stop,No info
Multiple carriers,9/05/2019,Delhi,Cochin,DEL _ BOM _ COK,09:15,19:15,10h,1 stop,No info
Jet Airways,12/06/2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,18:15 13 Jun,22h 15m,1 stop,In-flight meal not included
Multiple carriers,15/05/2019,Delhi,Cochin,DEL _ BOM _ COK,17:45,01:30 16 May,7h 45m,1 stop,No info
Jet Airways,6/06/2019,Mumbai,Hyderabad,BOM _ HYD,07:05,08:30,1h 25m,non-stop,No info
IndiGo,1/06/2019,Delhi,Cochin,DEL _ BOM _ COK,16:00,01:30 02 Jun,9h 30m,1 stop,No info
Jet Airways,1/04/2019,Kolkata,Banglore,CCU _ BOM _ BLR,16:30,09:20 02 Apr,16h 50m,1 stop,In-flight meal not included
Jet Airways,21/03/2019,Delhi,Cochin,DEL _ BOM _ COK,07:05,18:50,11h 45m,1 stop,In-flight meal not included
Jet Airways,9/04/2019,Delhi,Cochin,DEL _ IDR _ BOM _ COK,21:25,19:00 10 Apr,21h 35m,2 stops,No info
Jet Airways,1/04/2019,Mumbai,Hyderabad,BOM _ HYD,07:05,08:30,1h 25m,non-stop,In-flight meal not included
Jet Airways,6/06/2019,Delhi,Cochin,DEL _ BOM _ COK,18:15,04:25 07 Jun,10h 10m,1 stop,No info
Multiple carriers,27/05/2019,Delhi,Cochin,DEL _ IDR _ BOM _ COK,15:05,01:30 28 May,10h 25m,2 stops,No info
Jet Airways,6/04/2019,Banglore,Delhi,BLR _ DEL,17:45,20:45,3h,non-stop,In-flight meal not included
Jet Airways,24/06/2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,09:40,19:00,9h 20m,2 stops,In-flight meal not included
Jet Airways,1/06/2019,Delhi,Cochin,DEL _ BOM _ COK,20:55,19:00 02 Jun,22h 5m,1 stop,No info
Jet Airways,9/06/2019,Banglore,Delhi,BLR _ DEL,07:10,10:10,3h,non-stop,No info
Air India,18/05/2019,Kolkata,Banglore,CCU _ IXR _ DEL _ BLR,05:50,23:15,17h 25m,2 stops,No info
Air India,12/03/2019,Banglore,New Delhi,BLR _ BOM _ IXC _ DEL,06:45,13:55 13 Mar,31h 10m,2 stops,No info
Jet Airways,3/03/2019,Delhi,Cochin,DEL _ BOM _ COK,23:05,04:25 04 Mar,5h 20m,1 stop,No info
Air India,9/05/2019,Kolkata,Banglore,CCU _ BBI _ BOM _ BLR,12:00,11:10 10 May,23h 10m,2 stops,No info
Jet Airways,1/05/2019,Kolkata,Banglore,CCU _ DEL _ BLR,20:25,18:00 02 May,21h 35m,1 stop,No info
Jet Airways,24/06/2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,19:10,12:35 25 Jun,17h 25m,2 stops,No info
Air India,6/03/2019,Delhi,Cochin,DEL _ HYD _ MAA _ COK,09:45,09:25 07 Mar,23h 40m,2 stops,No info
SpiceJet,18/03/2019,Kolkata,Banglore,CCU _ BLR,17:15,19:45,2h 30m,non-stop,No info
Air India,01/03/2019,Banglore,New Delhi,BLR _ BBI _ DEL,09:30,16:20,6h 50m,1 stop,No info
Jet Airways,24/03/2019,Kolkata,Banglore,CCU _ BOM _ BLR,21:10,04:45 25 Mar,7h 35m,1 stop,In-flight meal not included
Jet Airways,15/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,08:55,09:00 16 Mar,24h 5m,1 stop,In-flight meal not included
Jet Airways,6/06/2019,Banglore,Delhi,BLR _ DEL,08:20,11:20,3h,non-stop,No info
Air India,9/04/2019,Delhi,Cochin,DEL _ BOM _ COK,10:00,19:15,9h 15m,1 stop,No info
IndiGo,1/06/2019,Delhi,Cochin,DEL _ BOM _ COK,06:40,21:00,14h 20m,1 stop,No info
Air Asia,27/05/2019,Kolkata,Banglore,CCU _ BLR,19:55,22:25,2h 30m,non-stop,No info
Multiple carriers,1/06/2019,Delhi,Cochin,DEL _ BOM _ COK,08:00,21:00,13h,1 stop,No info
Air India,1/04/2019,Kolkata,Banglore,CCU _ BOM _ COK _ BLR,16:50,15:05 02 Apr,22h 15m,2 stops,No info
Vistara,12/04/2019,Banglore,Delhi,BLR _ DEL,19:30,22:15,2h 45m,non-stop,No info
SpiceJet,6/05/2019,Kolkata,Banglore,CCU _ BLR,06:55,09:30,2h 35m,non-stop,No info
Air India,9/03/2019,Delhi,Cochin,DEL _ COK,14:10,17:10,3h,non-stop,No info
Jet Airways,1/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,14:05,19:50,5h 45m,1 stop,In-flight meal not included
Jet Airways,21/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,18:40,10:25 19 Mar,15h 45m,1 stop,In-flight meal not included
Jet Airways,06/03/2019,Banglore,New Delhi,BLR _ MAA _ DEL,09:45,15:55,6h 10m,1 stop,No info
Air India,6/05/2019,Kolkata,Banglore,CCU _ DEL _ AMD _ BLR,07:00,05:25 07 May,22h 25m,2 stops,No info
Air India,27/04/2019,Banglore,Delhi,BLR _ DEL,17:00,19:45,2h 45m,non-stop,No info
IndiGo,01/03/2019,Banglore,New Delhi,BLR _ STV _ DEL,11:20,15:25,4h 5m,1 stop,No info
IndiGo,15/06/2019,Delhi,Cochin,DEL _ BOM _ COK,20:25,01:30 16 Jun,5h 5m,1 stop,No info
IndiGo,18/06/2019,Kolkata,Banglore,CCU _ BLR,15:30,18:05,2h 35m,non-stop,No info
IndiGo,27/03/2019,Delhi,Cochin,DEL _ BOM _ COK,07:30,21:00,13h 30m,1 stop,No info
Multiple carriers,18/05/2019,Delhi,Cochin,DEL _ BOM _ COK,10:00,01:30 19 May,15h 30m,1 stop,In-flight meal not included
Jet Airways,3/06/2019,Delhi,Cochin,DEL _ BOM _ COK,14:00,19:00,5h,1 stop,In-flight meal not included
Jet Airways,6/06/2019,Banglore,Delhi,BLR _ DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included
Air India,24/06/2019,Delhi,Cochin,DEL _ MAA _ COK,09:45,09:25 25 Jun,23h 40m,1 stop,No info
Multiple carriers,1/06/2019,Delhi,Cochin,DEL _ BOM _ COK,06:00,12:35,6h 35m,1 stop,No info
Air India,6/04/2019,Delhi,Cochin,DEL _ MAA _ COK,09:45,09:25 07 Apr,23h 40m,1 stop,No info
Jet Airways,6/03/2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,19:10,04:25 08 Mar,33h 15m,2 stops,No info
IndiGo,3/04/2019,Kolkata,Banglore,CCU _ BLR,22:15,00:50 04 Apr,2h 35m,non-stop,No info
Multiple carriers,21/05/2019,Delhi,Cochin,DEL _ BOM _ COK,14:00,01:30 22 May,11h 30m,1 stop,No info
Jet Airways,15/05/2019,Mumbai,Hyderabad,BOM _ HYD,10:20,11:50,1h 30m,non-stop,No info
IndiGo,12/05/2019,Banglore,Delhi,BLR _ DEL,20:00,22:50,2h 50m,non-stop,No info
Jet Airways,15/06/2019,Delhi,Cochin,DEL _ ATQ _ BOM _ COK,20:00,19:00 16 Jun,23h,2 stops,No info
SpiceJet,18/06/2019,Kolkata,Banglore,CCU _ BLR,22:20,00:40 19 Jun,2h 20m,non-stop,No info
Jet Airways,12/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,08:25,09:20 13 May,24h 55m,1 stop,No info
Air India,9/05/2019,Banglore,Delhi,BLR _ DEL,06:10,08:55,2h 45m,non-stop,No info
Air India,6/06/2019,Chennai,Kolkata,MAA _ CCU,11:40,13:55,2h 15m,non-stop,No info
Air India,9/06/2019,Kolkata,Banglore,CCU _ DEL _ AMD _ BLR,10:00,05:25 10 Jun,19h 25m,2 stops,No info
Jet Airways,21/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,08:00,13:15,5h 15m,1 stop,In-flight meal not included
Jet Airways,9/05/2019,Delhi,Cochin,DEL _ COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included
Multiple carriers,9/04/2019,Delhi,Cochin,DEL _ BOM _ COK,08:00,21:00,13h,1 stop,No info
IndiGo,27/03/2019,Delhi,Cochin,DEL _ BOM _ COK,10:45,15:30,4h 45m,1 stop,No info
Multiple carriers,24/06/2019,Delhi,Cochin,DEL _ BOM _ COK,06:40,19:15,12h 35m,1 stop,No info
Air India,15/03/2019,Banglore,New Delhi,BLR _ HYD _ DEL,08:15,18:40,10h 25m,1 stop,No info
Air India,12/06/2019,Delhi,Cochin,DEL _ BOM _ COK,03:50,19:15,15h 25m,1 stop,No info
IndiGo,12/06/2019,Delhi,Cochin,DEL _ BLR _ COK,15:10,20:00,4h 50m,1 stop,No info
Air India,18/05/2019,Mumbai,Hyderabad,BOM _ HYD,21:05,22:25,1h 20m,non-stop,No info
Air India,01/03/2019,Banglore,New Delhi,BLR _ MAA _ DEL,11:50,11:35 02 Mar,23h 45m,1 stop,No info
Multiple carriers,3/06/2019,Delhi,Cochin,DEL _ BOM _ COK,07:05,21:00,13h 55m,1 stop,No info
GoAir,09/03/2019,Banglore,New Delhi,BLR _ DEL,20:55,23:50,2h 55m,non-stop,No info
Jet Airways,15/06/2019,Delhi,Cochin,DEL _ BOM _ COK,08:00,04:25 16 Jun,20h 25m,1 stop,In-flight meal not included
Air India,6/05/2019,Mumbai,Hyderabad,BOM _ HYD,21:05,22:25,1h 20m,non-stop,No info
SpiceJet,15/03/2019,Banglore,New Delhi,BLR _ DEL,20:30,23:20,2h 50m,non-stop,No info
